scenario,run_index,security_enabled,attack_detected,detection_latency_ticks,containment_latency_ticks,dispatch_cost,dispatch_emissions,unnecessary_generation_mwh,false_positive
LOAD_INFLATION,0,True,True,0,0,33.4703,0.22315,0.0,False
LOAD_INFLATION,0,False,True,0,,50.1649,0.33445,0.138193,False
LOAD_INFLATION,1,True,True,0,0,29.9561,0.19972,0.0,True
LOAD_INFLATION,1,False,True,0,,49.2413,0.32827,0.127135,True
LOAD_INFLATION,2,True,True,0,0,29.8781,0.1992,0.0,False
LOAD_INFLATION,2,False,True,0,,46.402,0.30935,0.08257,False
LOAD_INFLATION,3,True,True,0,0,32.6447,0.21764,1e-06,False
LOAD_INFLATION,3,False,True,0,,48.9715,0.32648,0.120475,False
LOAD_INFLATION,4,True,True,0,0,29.954,0.19968,0.0,False
LOAD_INFLATION,4,False,True,0,,50.745,0.33829,0.150174,False
LOAD_INFLATION,5,True,True,0,0,31.6094,0.21075,0.0,False
LOAD_INFLATION,5,False,True,0,,49.6535,0.33104,0.134359,False
LOAD_INFLATION,6,True,True,0,0,35.9748,0.23981,1e-06,True
LOAD_INFLATION,6,False,True,0,,48.0561,0.32034,0.104923,True
LOAD_INFLATION,7,True,True,0,0,30.0603,0.20042,0.0,True
LOAD_INFLATION,7,False,True,0,,47.8402,0.31896,0.102731,True
LOAD_INFLATION,8,True,True,0,0,33.2665,0.22174,0.0,True
LOAD_INFLATION,8,False,True,0,,49.9555,0.33301,0.138814,True
LOAD_INFLATION,9,True,True,0,0,29.9668,0.19979,0.0,False
LOAD_INFLATION,9,False,True,0,,50.9453,0.33967,0.152914,False
LOAD_INFLATION,10,True,True,0,0,30.8791,0.20585,0.0,False
LOAD_INFLATION,10,False,True,0,,49.2066,0.32804,0.12457,False
LOAD_INFLATION,11,True,True,0,0,30.094,0.20065,0.0,False
LOAD_INFLATION,11,False,True,0,,46.2554,0.30838,0.074038,False
LOAD_INFLATION,12,True,True,0,0,30.2829,0.20191,0.0,True
LOAD_INFLATION,12,False,True,0,,47.4695,0.3165,0.091499,True
LOAD_INFLATION,13,True,True,0,0,30.1237,0.20083,0.0,True
LOAD_INFLATION,13,False,True,0,,50.2669,0.33511,0.141809,True
LOAD_INFLATION,14,True,True,0,0,32.4394,0.21626,0.0,False
LOAD_INFLATION,14,False,True,0,,49.5954,0.33062,0.133113,False
LOAD_INFLATION,15,True,True,0,0,30.0476,0.20034,0.0,False
LOAD_INFLATION,15,False,True,0,,49.6012,0.33069,0.130542,False
LOAD_INFLATION,16,True,True,0,0,32.3637,0.21577,0.0,True
LOAD_INFLATION,16,False,True,0,,47.4699,0.31648,0.098718,True
LOAD_INFLATION,17,True,True,0,0,30.7001,0.20464,1e-06,False
LOAD_INFLATION,17,False,True,0,,48.7174,0.32475,0.121122,False
LOAD_INFLATION,18,True,True,0,0,30.0127,0.2001,0.0,False
LOAD_INFLATION,18,False,True,0,,47.5454,0.31698,0.099325,False
LOAD_INFLATION,19,True,True,0,0,30.9403,0.20628,1e-06,False
LOAD_INFLATION,19,False,True,0,,47.988,0.31994,0.10427,False
LOAD_INFLATION,20,True,True,0,0,29.8881,0.19928,0.0,False
LOAD_INFLATION,20,False,True,0,,49.1743,0.32786,0.124992,False
LOAD_INFLATION,21,True,True,0,0,30.1998,0.20136,0.0,False
LOAD_INFLATION,21,False,True,0,,48.9218,0.32618,0.119171,False
LOAD_INFLATION,22,True,True,0,0,30.1838,0.20126,0.0,False
LOAD_INFLATION,22,False,True,0,,51.149,0.34103,0.153052,False
LOAD_INFLATION,23,True,True,0,0,30.0387,0.20031,0.0,False
LOAD_INFLATION,23,False,True,0,,46.2894,0.30863,0.076622,False
LOAD_INFLATION,24,True,True,0,0,29.8571,0.19904,0.0,True
LOAD_INFLATION,24,False,True,0,,50.5909,0.33728,0.150267,True
LOAD_INFLATION,25,True,True,0,0,35.8158,0.23878,1e-06,False
LOAD_INFLATION,25,False,True,0,,47.9372,0.31961,0.105732,False
LOAD_INFLATION,26,True,True,0,0,31.819,0.21213,0.0,False
LOAD_INFLATION,26,False,True,0,,48.817,0.32544,0.11465,False
LOAD_INFLATION,27,True,True,0,0,30.7284,0.20489,0.0,False
LOAD_INFLATION,27,False,True,0,,48.6564,0.3244,0.120064,False
LOAD_INFLATION,28,True,True,0,0,35.0507,0.23365,1e-06,False
LOAD_INFLATION,28,False,True,0,,47.9543,0.31968,0.104364,False
LOAD_INFLATION,29,True,True,0,0,32.4421,0.21629,1e-06,False
LOAD_INFLATION,29,False,True,0,,47.1852,0.31459,0.093456,False
LOAD_SUPPRESSION,0,True,True,0,0,30.6645,0.20446,0.0,False
LOAD_SUPPRESSION,0,False,True,0,,35.9942,0.24,0.092269,False
LOAD_SUPPRESSION,1,True,True,0,0,30.0459,0.20032,0.0,False
LOAD_SUPPRESSION,1,False,True,0,,35.4921,0.23662,0.104104,False
LOAD_SUPPRESSION,2,True,True,0,0,33.3216,0.22214,1e-06,False
LOAD_SUPPRESSION,2,False,True,0,,34.8194,0.23213,0.113779,False
LOAD_SUPPRESSION,3,True,True,0,0,29.8601,0.19908,0.0,False
LOAD_SUPPRESSION,3,False,True,0,,37.8656,0.25246,0.061717,False
LOAD_SUPPRESSION,4,True,True,0,0,29.9903,0.19995,0.0,False
LOAD_SUPPRESSION,4,False,True,0,,35.1462,0.23434,0.109405,False
LOAD_SUPPRESSION,5,True,True,0,0,31.8031,0.21205,0.0,False
LOAD_SUPPRESSION,5,False,True,0,,37.0038,0.24671,0.080532,False
LOAD_SUPPRESSION,6,True,True,0,0,30.783,0.20521,0.0,False
LOAD_SUPPRESSION,6,False,True,0,,37.5327,0.25021,0.069722,False
LOAD_SUPPRESSION,7,True,True,0,0,29.9534,0.19966,0.0,False
LOAD_SUPPRESSION,7,False,True,0,,35.6903,0.23791,0.097961,False
LOAD_SUPPRESSION,8,True,True,0,0,32.6976,0.21795,0.0,True
LOAD_SUPPRESSION,8,False,True,0,,36.8127,0.24538,0.082496,True
LOAD_SUPPRESSION,9,True,True,0,0,29.9673,0.19979,0.0,False
LOAD_SUPPRESSION,9,False,True,0,,37.6531,0.25102,0.066489,False
LOAD_SUPPRESSION,10,True,True,0,0,30.8452,0.20567,0.0,False
LOAD_SUPPRESSION,10,False,True,0,,35.8617,0.23912,0.095871,False
LOAD_SUPPRESSION,11,True,True,0,0,34.0766,0.22717,1e-06,False
LOAD_SUPPRESSION,11,False,True,0,,37.8609,0.25241,0.061951,False
LOAD_SUPPRESSION,12,True,True,0,0,29.89,0.19926,0.0,True
LOAD_SUPPRESSION,12,False,True,0,,34.7694,0.23179,0.112748,True
LOAD_SUPPRESSION,13,True,True,0,0,36.7727,0.24514,1e-06,False
LOAD_SUPPRESSION,13,False,True,0,,37.8323,0.25221,0.065412,False
LOAD_SUPPRESSION,14,True,True,0,0,36.8043,0.24538,1e-06,False
LOAD_SUPPRESSION,14,False,True,0,,38.4035,0.25602,0.057041,False
LOAD_SUPPRESSION,15,True,True,0,0,31.657,0.21104,1e-06,False
LOAD_SUPPRESSION,15,False,True,0,,36.2256,0.24152,0.089198,False
LOAD_SUPPRESSION,16,True,True,0,0,30.792,0.20528,0.0,False
LOAD_SUPPRESSION,16,False,True,0,,34.9398,0.23293,0.111771,False
LOAD_SUPPRESSION,17,True,True,0,0,30.6985,0.20466,0.0,False
LOAD_SUPPRESSION,17,False,True,0,,36.3732,0.2425,0.08653,False
LOAD_SUPPRESSION,18,True,True,0,0,31.56,0.2104,1e-06,False
LOAD_SUPPRESSION,18,False,True,0,,38.3403,0.25559,0.052696,False
LOAD_SUPPRESSION,19,True,True,0,0,34.2281,0.22819,1e-06,False
LOAD_SUPPRESSION,19,False,True,0,,37.1549,0.24767,0.075853,False
LOAD_SUPPRESSION,20,True,True,0,0,29.9649,0.19977,0.0,True
LOAD_SUPPRESSION,20,False,True,0,,37.2987,0.24866,0.074548,True
LOAD_SUPPRESSION,21,True,True,0,0,32.3785,0.21585,0.0,False
LOAD_SUPPRESSION,21,False,True,0,,38.3699,0.25578,0.055092,False
LOAD_SUPPRESSION,22,True,True,0,0,31.6647,0.21109,1e-06,False
LOAD_SUPPRESSION,22,False,True,0,,35.6431,0.2376,0.096855,False
LOAD_SUPPRESSION,23,True,True,0,0,29.7454,0.19831,0.0,False
LOAD_SUPPRESSION,23,False,True,0,,38.2529,0.25503,0.052184,False
LOAD_SUPPRESSION,24,True,True,0,0,30.8831,0.20589,0.0,False
LOAD_SUPPRESSION,24,False,True,0,,36.3495,0.24233,0.087977,False
LOAD_SUPPRESSION,25,True,True,0,0,29.9914,0.19996,0.0,False
LOAD_SUPPRESSION,25,False,True,0,,38.3013,0.25538,0.05748,False
